Метрика,Милштейн,Эйлер
——— ВСЕГО ———,—,—
Кол-во тикеров (Long + Short),184,183
Портфель (РУБ),184.00,183.00
Доходность (%),-8.63%,-8.66%
Прибыль (РУБ),-15.89,-15.86
VaR (95%) %,-5.29%,-5.30%
CVaR (95%) %,-6.83%,-6.84%
Sharpe Ratio,-3.3501,-3.3416
Кол-во раз вне границ [1%; 99%],101,101
Сумма РУБ вне границ [1%; 99%],+5.71,+5.72
——— Long (по 1 руб/тикер) ———,—,—
Кол-во тикеров,7,7
Портфель (РУБ),7.00,7.00
Доходность (%),-0.07%,-0.07%
Прибыль (РУБ),-0.00,-0.00
VaR (95%) %,-11.46%,-11.48%
CVaR (95%) %,-14.18%,-14.23%
Sharpe Ratio,-0.2768,-0.2768
Кол-во раз вне границ [1%; 99%],0,0
Сумма РУБ вне границ [1%; 99%],+0.00,+0.00
——— Short (по 1 руб/тикер) ———,—,—
Кол-во тикеров,177,176
Портфель (РУБ),177.00,176.00
Доходность (%),-8.97%,-9.01%
Прибыль (РУБ),-15.88,-15.85
VaR (95%) %,-5.05%,-5.06%
CVaR (95%) %,-6.54%,-6.55%
Sharpe Ratio,-3.4717,-3.4634
Кол-во раз вне границ [1%; 99%],101,101
Сумма РУБ вне границ [1%; 99%],+5.71,+5.72
